Measurement taken on,Hydrometer distance
2020-10-12T11:54:17+00:00,6.69
2020-10-12T11:56:14+00:00,6.78
2020-10-12T11:56:36+00:00,6.78
2020-10-12T11:58:10+00:00,6.61
2020-10-12T12:00:32+00:00,6.7
2020-10-12T12:04:07+00:00,6.69
2020-10-12T12:05:16+00:00,6.65
2020-10-12T12:09:56+00:00,6.57
2020-10-12T12:10:18+00:00,6.54
2020-10-12T12:12:33+00:00,6.59
2020-10-12T12:14:55+00:00,6.64
2020-10-12T12:18:04+00:00,6.67
2020-10-12T12:20:46+00:00,6.66
2020-10-12T12:21:32+00:00,6.7
2020-10-12T12:22:42+00:00,6.54
2020-10-12T12:23:17+00:00,6.7
2020-10-12T12:26:02+00:00,6.54
2020-10-12T12:26:47+00:00,6.53
2020-10-12T12:27:33+00:00,6.75
2020-10-12T12:28:20+00:00,6.61
2020-10-12T12:29:43+00:00,6.65
2020-10-12T12:30:29+00:00,6.78
2020-10-12T12:32:02+00:00,6.76
2020-10-12T12:36:21+00:00,6.7
2020-10-12T12:37:56+00:00,6.71
2020-10-12T12:40:41+00:00,6.61
2020-10-12T12:41:51+00:00,6.7
2020-10-12T12:43:25+00:00,6.69
2020-10-12T17:37:17+00:00,7.16
2020-10-12T17:40:40+00:00,7.09
2020-10-12T17:41:49+00:00,7.23
2020-10-12T17:42:35+00:00,7.16
2020-10-12T17:43:44+00:00,7.64
2020-10-12T17:44:34+00:00,7.41
2020-10-12T17:45:20+00:00,7.29
2020-10-12T17:45:42+00:00,7.22
2020-10-12T17:46:29+00:00,7.64
2020-10-12T17:49:58+00:00,7.08
2020-10-12T17:50:20+00:00,7.55
2020-10-12T17:53:51+00:00,7.52
2020-10-12T17:56:11+00:00,7.78
2020-10-12T17:57:42+00:00,7.66
2020-10-12T17:58:27+00:00,7.4
2020-10-12T17:59:12+00:00,7.33
2020-10-12T18:08:34+00:00,8.19
2020-10-12T18:09:42+00:00,8.2
2020-10-12T18:10:27+00:00,8.09
2020-10-12T18:10:49+00:00,7.66
2020-10-12T18:12:22+00:00,8.31
2020-10-12T18:13:07+00:00,8.31
2020-10-12T18:15:28+00:00,8.16
2020-10-12T18:18:13+00:00,7.98
2020-10-12T18:19:22+00:00,7.67
2020-10-12T18:21:20+00:00,7.89
2020-10-12T18:26:02+00:00,7.67
2020-10-12T18:28:00+00:00,8.12
2020-10-12T18:31:09+00:00,7.81
2020-10-12T18:38:25+00:00,7.85
2020-10-12T18:38:47+00:00,8.1
2020-10-12T18:40:07+00:00,7.94
2020-10-12T18:42:03+00:00,7.93
2020-10-12T18:46:00+00:00,8.14
2020-10-12T18:47:54+00:00,8.09
2020-10-12T18:49:51+00:00,8.2
2020-10-12T18:51:01+00:00,7.87
2020-10-12T18:52:35+00:00,8.14
2020-10-12T18:52:57+00:00,7.93
2020-10-12T18:53:42+00:00,7.8
2020-10-12T18:54:04+00:00,8.18
2020-10-12T18:54:27+00:00,7.93
2020-10-12T18:55:13+00:00,8.09
2020-10-12T18:56:24+00:00,8.13
2020-10-12T18:56:46+00:00,7.94
2020-10-12T18:57:08+00:00,7.91
2020-10-12T18:57:55+00:00,7.95
2020-10-12T19:01:29+00:00,8.19
2020-10-12T19:04:00+00:00,7.98
2020-10-12T19:04:22+00:00,7.83
2020-10-12T19:07:55+00:00,8.07
2020-10-12T19:09:04+00:00,8.16
2020-10-12T19:09:26+00:00,7.87
2020-10-12T19:12:09+00:00,7.9
2020-10-12T19:13:44+00:00,7.73
2020-10-12T19:15:16+00:00,7.46
2020-10-12T19:17:02+00:00,7.83
2020-10-12T19:19:00+00:00,7.46
2020-10-12T19:19:46+00:00,7.48
2020-10-12T19:20:58+00:00,7.46
2020-10-12T19:21:21+00:00,7.34
2020-10-12T19:24:10+00:00,7.62
2020-10-12T19:24:32+00:00,7.6
2020-10-12T19:25:55+00:00,7.59
2020-10-12T19:27:51+00:00,7.83
2020-10-12T19:29:00+00:00,7.5
2020-10-12T19:31:44+00:00,7.55
2020-10-12T19:34:49+00:00,7.51
2020-10-12T19:35:58+00:00,7.38
2020-10-12T19:37:09+00:00,7.64
2020-10-12T19:37:54+00:00,7.62
2020-10-12T19:39:05+00:00,7.58
2020-10-12T19:42:34+00:00,7.83
2020-10-12T19:44:31+00:00,7.67
2020-10-12T19:46:52+00:00,7.46
2020-10-12T19:52:45+00:00,7.46
2020-10-12T19:53:31+00:00,7.59
2020-10-12T19:55:05+00:00,7.46
2020-10-12T19:56:14+00:00,7.63
2020-10-12T20:03:40+00:00,7.63
2020-10-12T20:05:48+00:00,7.51
2020-10-12T20:06:10+00:00,7.8
2020-10-12T20:07:43+00:00,7.93
2020-10-12T20:09:17+00:00,7.88
2020-10-12T20:16:33+00:00,7.58
2020-10-12T20:16:55+00:00,7.49
2020-10-12T20:17:40+00:00,7.84
2020-10-12T20:22:35+00:00,7.5
2020-10-12T20:22:57+00:00,7.47
2020-10-12T20:24:08+00:00,7.7
2020-10-12T20:24:54+00:00,7.63
2020-10-12T20:28:22+00:00,7.7
2020-10-12T20:29:55+00:00,7.51
2020-10-12T20:32:27+00:00,7.51
2020-10-12T20:32:49+00:00,7.47
2020-10-12T20:35:08+00:00,7.84
2020-10-12T20:35:54+00:00,7.65
2020-10-12T20:36:40+00:00,7.79
2020-10-12T20:39:25+00:00,7.68
2020-10-12T20:40:12+00:00,7.79
2020-10-12T20:40:36+00:00,7.46
2020-10-12T20:43:18+00:00,7.51
2020-10-12T20:45:16+00:00,7.82
2020-10-12T20:48:23+00:00,7.51
2020-10-12T20:49:58+00:00,7.55
2020-10-12T20:51:32+00:00,7.53
2020-10-12T20:51:55+00:00,7.79
2020-10-12T20:55:50+00:00,7.46
2020-10-12T20:56:13+00:00,7.52
2020-10-12T20:57:46+00:00,7.51
2020-10-12T21:00:04+00:00,7.73
2020-10-12T21:00:26+00:00,7.71
